Nsample	fc	zr	MNAR	model	pAUROC
5	10	0.8	0.2	ModT	0.95197184359119
5	1.2	0.8	0.3	ModT-bPCA	0.510014372531481
5	1.5	0.8	0.3	ModT-bPCA	0.531858933947904
5	1.8	0.8	0.3	ModT-bPCA	0.557379396698196
5	2	0.8	0.3	ModT-bPCA	0.578851210800015
5	3	0.8	0.3	ModT-bPCA	0.688330061874476
5	5	0.8	0.3	ModT-bPCA	0.844414032161093
5	10	0.8	0.3	ModT	0.953170877599306
5	1.2	0.8	0.4	ModT-bPCA	0.509911437919861
5	1.5	0.8	0.4	ModT-bPCA	0.530622029393987
5	1.8	0.8	0.4	ModT-bPCA	0.554167635195293
5	2	0.8	0.4	ModT-bPCA	0.573963389723888
5	3	0.8	0.4	ModT-bPCA	0.684058377900426
5	5	0.8	0.4	ModT-bPCA	0.843153702615685
5	10	0.8	0.4	ModT	0.955593031772412
5	1.2	0.8	0.5	ModT-bPCA	0.509754550157788
5	1.5	0.8	0.5	ModT-bPCA	0.529187885873299
5	1.8	0.8	0.5	ModT-bPCA	0.550698128515303
5	2	0.8	0.5	ModT-bPCA	0.566880883400707
5	3	0.8	0.5	ModT	0.676237720605494
5	5	0.8	0.5	ModT	0.844349105615874
5	10	0.8	0.5	ModT	0.95717237945919
5	1.2	0.8	0.6	ModT-bPCA	0.509226000610198
5	1.5	0.8	0.6	ModT-bPCA	0.527243481583309
5	1.8	0.8	0.6	ModT-bPCA	0.544966998542576
5	2	0.8	0.6	ModT-bPCA	0.56001275524116
5	3	0.8	0.6	ModT	0.67579546579021
5	5	0.8	0.6	ModT	0.845984937481667
5	10	0.8	0.6	ModT	0.959237429613993
5	1.2	0.8	0.7	ModT-bPCA	0.508497635183576
5	1.5	0.8	0.7	ModT-bPCA	0.523178424369605
5	1.8	0.8	0.7	ZILN_DM	0.54803710601872
5	2	0.8	0.7	ZILN_DM	0.568435955540968
5	3	0.8	0.7	ModT	0.675524740152054
5	5	0.8	0.7	ModT	0.84665545695687
5	10	0.8	0.7	ModT	0.961661782360305
5	1.2	0.8	0.8	ModT-bPCA	0.506733104886853
5	1.5	0.8	0.8	ZIG_DM	0.527689746550233
5	1.8	0.8	0.8	ZILN_DM	0.568934569332184
5	2	0.8	0.8	ZILN_DM	0.593768420242639
5	3	0.8	0.8	ModT-SampMin	0.705917585098306
5	5	0.8	0.8	ModT	0.846148927600395
5	10	0.8	0.8	ModT	0.962571292480841
5	1.2	0.8	0.9	twoT	0.504389737013159
5	1.5	0.8	0.9	ZILN_DM	0.544381835502587
5	1.8	0.8	0.9	ModT-SampMin	0.593643974595973
5	2	0.8	0.9	ModT-SampMin	0.629332016387083
5	3	0.8	0.9	ModT-SampMin	0.769682229790248
5	5	0.8	0.9	ModT-SampMin	0.890989220188076
5	10	0.8	0.9	ModT	0.959981864589799
5	1.2	0.8	1	ZIG_DM	0.507766988494206
5	1.5	0.8	1	ModT-SampMin	0.58016105863697
5	1.8	0.8	1	ModT-SampMin	0.664737420084702
5	2	0.8	1	ModT-SampMin	0.711400396448563
5	3	0.8	1	ModT-SampMin	0.825564527814627
5	5	0.8	1	ModT-SampMin	0.861617798918356
5	10	0.8	1	ModT-SampMin	0.893774950180738
5	1.2	0.9	0	ModT-bPCA	0.508222708712149
5	1.5	0.9	0	ModT-bPCA	0.524101574835848
5	1.8	0.9	0	ModT-bPCA	0.547987171521046
5	2	0.9	0	ModT-bPCA	0.567052829392855
5	3	0.9	0	ModT-bPCA	0.6709480138597
5	5	0.9	0	ModT-bPCA	0.814602588523337
5	10	0.9	0	ModT-bPCA	0.935219744654344
5	1.2	0.9	0.1	ModT-bPCA	0.50838665032726
5	1.5	0.9	0.1	ModT-bPCA	0.523412655805177
5	1.8	0.9	0.1	ModT-bPCA	0.549084341610674
5	2	0.9	0.1	ModT-bPCA	0.566658886171938
5	3	0.9	0.1	ModT-bPCA	0.67173899926148
5	5	0.9	0.1	ModT-bPCA	0.821703263682506
5	10	0.9	0.1	ModT-bPCA	0.9366040381469
5	1.2	0.9	0.2	ModT-bPCA	0.508249172121056
5	1.5	0.9	0.2	ModT-bPCA	0.525584705736917
5	1.8	0.9	0.2	ModT-bPCA	0.550266347204605
5	2	0.9	0.2	ModT-bPCA	0.56943708918107
5	3	0.9	0.2	ModT-bPCA	0.674713131975506
5	5	0.9	0.2	ModT-bPCA	0.824604520266822
5	10	0.9	0.2	ModT-bPCA	0.939501423483707
5	1.2	0.9	0.3	ModT-bPCA	0.508871052990354
5	1.5	0.9	0.3	ModT-bPCA	0.526379218940438
5	1.8	0.9	0.3	ModT-bPCA	0.550653210508481
5	2	0.9	0.3	ModT-bPCA	0.569767322996747
